annee,Num_Acc,hrmn,heure,saison,lum,motif
2005,200500001609,1515,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001618,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001621,1145,11,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001679,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001723,1330,13,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001733,1015,10,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001843,1500,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001856,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001884,2345,23,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001888,1300,13,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001903,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001928,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002165,650,6,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002210,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002299,1845,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002339,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002413,1900,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002464,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002488,1650,16,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500002493,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002496,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002503,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002605,1945,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500002919,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500003104,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500003246,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500003403,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500003501,1000,10,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500003775,2012,20,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500003794,1650,16,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500003866,1825,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500003880,700,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500003884,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500003898,1820,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004083,1020,10,hiver,4 - Nuit avec éclairage public non allumé,Nuit déclarée mais heure en pleine journée
2005,200500004164,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004211,1825,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004270,1825,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004278,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004354,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004446,749,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004471,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004565,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500004670,1555,15,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500005081,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005095,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005528,1803,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005565,735,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005611,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005631,1850,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005714,600,6,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005761,1650,16,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500005769,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005970,100,1,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500005979,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006250,2222,22,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006254,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006289,2045,20,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006292,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006386,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006630,1650,16,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500006648,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006727,1845,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006779,1920,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006839,757,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006856,2030,20,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006885,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006886,630,6,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006889,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006935,2300,23,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500006970,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007018,1840,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007037,1900,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007045,734,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007092,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007097,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007118,655,6,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007121,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007136,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007155,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007159,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007171,720,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007193,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007197,1915,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007211,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007232,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007295,1810,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007300,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007353,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007377,740,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007388,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007434,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007455,749,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007471,1150,11,hiver,4 - Nuit avec éclairage public non allumé,Nuit déclarée mais heure en pleine journée
2005,200500007511,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007518,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007531,752,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007538,705,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007548,2330,23,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007605,740,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007619,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007622,1910,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007624,735,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007626,530,5,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007627,700,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007633,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007661,744,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007666,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007675,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007691,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007724,754,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007741,715,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007809,1805,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007814,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007834,735,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007836,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007845,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007864,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007870,725,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007889,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007898,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007907,1805,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007912,1825,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007926,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007942,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007944,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007960,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007965,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500007974,1805,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008035,1844,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008041,1807,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008042,1842,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008135,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008171,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008186,2030,20,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008198,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008216,1935,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008291,740,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008320,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008325,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008341,755,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008346,740,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008464,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008588,743,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008611,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008669,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008758,505,5,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008838,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500008986,1825,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009018,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009024,1814,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009128,735,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009160,1615,16,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500009182,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009251,732,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009292,749,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009304,720,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009414,710,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009422,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009448,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009455,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009460,1825,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009473,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009504,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009531,720,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009547,655,6,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009561,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009608,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009622,1803,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009652,1200,12,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500009660,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009878,630,6,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009882,1840,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009906,1805,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500009938,705,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010002,2100,21,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010028,1820,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010050,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010076,2030,20,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010115,1900,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010141,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010191,720,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010271,1810,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010288,1845,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010303,1915,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010365,1810,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010366,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010387,750,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010425,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010455,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010488,1845,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010505,715,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010509,715,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010511,500,5,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010517,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010554,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010570,2045,20,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010623,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010632,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010637,1045,10,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500010652,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010674,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010685,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010769,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010777,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010790,1530,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500010881,1130,11,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500010888,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010947,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500010960,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011014,715,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011018,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011040,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011060,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011106,1915,19,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011107,1100,11,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500011109,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011158,1845,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011180,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011182,1630,16,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500011251,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011284,700,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011285,1515,15,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500011289,700,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011297,645,6,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011318,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011357,1100,11,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500011387,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011408,1500,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500011422,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011423,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011426,1015,10,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500011445,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011452,1500,15,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500011453,1500,15,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500011497,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011529,1245,12,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500011536,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011565,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011566,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011587,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011588,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011604,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011606,1130,11,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500011635,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011658,2030,20,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011660,1115,11,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500011708,1500,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500011709,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011710,1530,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500011722,45,0,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011797,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011806,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500011824,1200,12,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
